Year	tree ring data
2280	342.62
2281	298.79
2282	158
2283	314.81
2284	297.92
2285	299.81
2286	266.34
2287	275.95
2288	240.74
2289	217.98
2290	116.53
2291	108.74
2292	119.09
2293	156.45
2294	160.02
2295	1192.8
2296	191.98
2297	205.08
2298	257
2299	260.07
2300	278.51
2301	253.02
2302	236.67
2303	241.77
2304	289.46
2305	333.66
2306	349.95
2307	241.49
2308	170.63
2309	150.57
2310	200.82
2311	198.86
2312	199
2313	213.68
2314	195.85
2315	232.4
2316	272.97
2317	233.41
2318	172.02
2319	172.19
2320	171.89
2321	249.95
2322	260.26
2323	278.54
2324	243.7
2325	257.12
2326	254.43
2327	266.13
2328	223.44
2329	198.23
2330	203.55
2331	176.71
2332	240.96
2333	257.86
2334	324.77
2335	265.97
2336	259.19
2337	216.13
2338	189.85
2339	181.23
2340	222.45
2341	285.95
2342	307.77
2343	325.99
2344	363.39
2345	332.68
2346	288.41
2347	228.31
2348	252.18
2349	268.38
2350	283.3
2351	233.66
2352	218.73
2353	188.19
2354	200.08
2355	172.65
2356	221.05
2357	208.15
2358	256.69
2359	227.74
2360	240.47
2361	202.77
2362	176.88
2363	180.74
2364	208.49
2365	245.17
2366	248.15
2367	293.04
2368	290.01
2369	340.65
2370	322.21
2371	287.75
2372	222.36
2373	309.88
2374	244.63
2375	241.93
2376	189.26
2377	236.86
2378	224.75
2379	183.27
2380	174.8
2381	189.33
2382	235.48
2383	238.79
2384	234.89
2385	216.26
2386	219.29
2387	179.11
2388	217.95
2389	5215.9
2390	250.91
2391	262.28
2392	252.65
2393	283.87
2394	267.51
2395	247.18
2396	192.47
2397	192.75
2398	220.43
2399	205.84
2400	206.55
2401	227.29
2402	228.78
2403	209.41
2404	167.92
2405	204.88
2406	245.08
2407	264.68
2408	248.99
2409	219.53
2410	200.24
2411	197.41
2412	210.36
2413	225.5
2414	279.52
2415	1283.7
2416	307.85
2417	298.84
2418	255.34
2419	210.36
2420	192.73
2421	191.7
2422	196.02
2423	197.58
2424	186.26
2425	206.46
2426	205.72
2427	200.04
2428	199.24
2429	208.6
2430	222.09
2431	212.48
2432	216.68
2433	205.27
2434	220.7
2435	203.53
2436	246.49
2437	319.28
2438	400.44
2439	393.23
2440	301.81
2441	164.34
2442	121.62
2443	155.29
2444	167.75
2445	177.26
2446	159.59
2447	198.81
2448	212.34
2449	261.53
2450	276.77
2451	301.32
2452	259.31
2453	209.71
2454	163.11
2455	1161.2
2456	228.96
2457	305.49
2458	275.99
2459	234.63
2460	192.17
2461	219.67
2462	239.28
2463	264.46
2464	231.37
2465	199.41
2466	196.2
2467	216.21
2468	252.93
2469	231.13
2470	220.91
2471	218.38
2472	256.06
2473	255.11
2474	237.89
2475	228
2476	274.25
2477	253.75
2478	258.51
2479	238.01
2480	255.77
2481	222.27
2482	197.55
2483	163.98
2484	178.47
2485	169
2486	132.25
2487	151.59
2488	177.27
2489	218.47
2490	265.55
2491	289.79
2492	284.52
2493	253.55
